,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
1266,618,BDI,NGDPRPC,Burundi,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",187179.38,203970.1,196074.45,197569.84,192243.05,208779.21,209427.16,214660.54,219042.2,215677.65,216783.62,222787.36,218802.63,205512.91,194276.47,175600.66,158632.18,156714.61,161295.44,158420.25,156545.86,154516.78,153546.22,153668.94,154812.1,160841.85,164611.19,165333.48,167833.03,168666.1,171810.88,173365.01,175629.53,178737.02,180889.94,168772.07,162557.56,158304.61,156168.14,154413.1,148356.46,146388.94,148081.86,150475.87,153314.04,156602.49,159399.61,2016.0
1311,624,CPV,NGDPRPC,Cabo Verde,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",82667.28,88287.41,89136.53,95663.67,97204.99,103400.44,104179.11,106438.86,110485.61,114286.03,112516.73,111456.56,112132.77,117478.69,126035.21,132005.82,137435.0,144526.69,153251.05,167822.89,176379.89,183561.4,189671.65,200338.07,206829.35,215663.24,232279.63,250748.76,264550.6,258435.68,259396.82,266675.34,266459.95,265434.91,263845.62,263263.63,272256.42,278807.22,292845.2,305797.61,257520.48,264653.9,278547.3,292046.68,306214.45,321373.01,337257.53,2018.0
1401,622,CMR,NGDPRPC,Cameroon,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",550063.93,625660.84,654560.12,680725.94,712427.59,750180.17,779623.54,741702.88,663902.7,632955.43,576022.06,537774.05,505952.73,475636.35,450341.19,452550.91,461848.19,473143.52,482787.54,488715.68,492297.25,500416.11,507949.32,517134.85,537533.62,533734.52,537333.82,548429.05,552162.73,548983.49,552384.0,559644.44,569307.08,583982.15,601862.91,619050.36,630818.61,636202.18,644977.17,651908.86,625673.13,632195.32,644741.68,659880.7,677857.15,697383.02,718727.91,2019.0
1446,156,CAN,NGDPRPC,Canada,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",34403.39,35157.66,33632.19,34162.48,35840.35,37194.37,37621.57,38663.85,39835.37,40064.29,39524.0,38208.95,38094.17,38661.05,39968.16,40619.98,40849.32,42173.11,43443.43,45320.53,47231.02,47573.56,48481.37,48894.57,49933.24,51048.58,51869.44,52429.38,52396.53,50285.36,51263.23,52351.68,52710.5,53369.78,54345.59,54265.84,54240.15,55211.7,55776.44,56010.35,52421.59,55091.74,57178.09,58068.17,58354.31,58583.53,58894.91,2020.0
1491,626,CAF,NGDPRPC,Central African Republic,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",214002.89,234615.93,220672.83,202395.86,217243.23,219354.96,227306.62,222621.16,222032.56,225886.45,224155.78,217382.24,201856.94,194693.92,214001.89,215718.97,197928.36,201574.51,203936.32,205628.09,194516.32,196049.68,196791.85,189231.7,185943.71,188141.73,193605.47,197741.26,199117.06,200822.41,206080.75,211385.9,221199.5,140321.04,139930.56,145058.98,150441.83,155268.71,158781.31,160775.48,159477.46,154998.03,158128.89,162692.85,167276.96,171925.43,176484.68,2004.0
1536,628,TCD,NGDPRPC,Chad,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",191844.52,167463.95,172528.95,194831.23,199891.18,209841.37,215925.14,216954.23,225943.18,223000.62,222834.65,238269.69,236306.39,224101.23,228843.38,219648.94,216846.09,221395.02,228662.33,219107.1,209326.92,225047.31,234920.65,259307.46,333666.45,348432.41,338617.77,338026.46,336979.77,339511.83,373027.77,361116.69,379890.19,388527.23,401813.25,395969.71,362381.51,343039.42,340485.84,340254.31,327620.43,321137.71,319331.74,318179.49,322827.32,327749.23,330961.57,2004.0
1581,228,CHL,NGDPRPC,Chile,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",2866950.04,2995299.62,2546691.08,2436168.75,2539374.15,2549645.13,2645264.91,2770906.67,2922633.67,3178882.96,3241744.36,3428578.56,3722850.67,3910544.07,4046133.73,4339855.24,4573308.71,4846759.4,4992977.02,4908760.0,5109677.63,5218269.96,5320981.4,5480905.55,5815088.06,6087657.54,6407093.91,6652583.79,6815651.51,6634560.65,6945726.74,7289457.77,7594786.02,7826553.6,7886069.21,7984641.6,8034845.41,8016380.24,8167122.92,8096417.4,7485602.93,8199542.46,8315799.5,8391962.57,8481352.52,8595444.49,8729599.06,2020.0
1626,924,CHN,NGDPRPC,China,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",2688.43,2786.95,2990.5,3269.92,3718.25,4160.69,4448.77,4887.76,5350.7,5492.42,5624.68,6068.68,6855.35,7718.17,8626.71,9472.51,10304.4,11144.64,11910.82,12721.11,13694.66,14731.17,15970.48,17465.71,19119.66,21172.18,23737.55,26979.62,29417.75,32040.09,35270.42,38402.78,41109.97,44043.94,46983.23,50033.52,53113.2,56486.78,60072.72,63436.83,64726.39,69729.46,73468.28,77198.67,81126.26,85176.7,89310.83,2020.0
1671,233,COL,NGDPRPC,Colombia,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",8528269.97,8532408.3,8428371.24,8380076.6,8480907.26,8804008.75,9127395.13,9420124.03,9601884.59,9727898.75,9941987.44,9970641.37,10200687.38,10581228.41,10928375.24,11304623.43,11352215.32,11589536.0,11477169.73,10856195.88,11008459.04,11051109.17,11186670.92,11480547.27,11944672.78,12354926.75,13028986.44,13747652.0,14042582.68,14048022.15,14520409.2,15366453.61,15808670.32,16461757.56,17040680.02,17374762.97,17541916.83,17559469.58,17696532.35,17856400.31,16320199.32,17328934.72,17798072.16,18184893.5,18613996.34,19065233.86,19543087.89,2020.0
1716,632,COM,NGDPRPC,Comoros,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",425328.51,437641.03,444579.07,447806.3,461869.06,460474.26,455864.73,451306.74,459475.41,441210.2,460663.08,446626.76,469363.25,471112.66,442804.24,457980.62,446076.31,455997.87,446550.6,449146.24,435526.84,449660.3,460604.82,459887.76,462818.45,477508.54,457198.56,449332.91,455305.26,458033.83,463074.23,469733.73,471959.0,480109.98,477290.89,470681.24,474019.39,480706.55,484998.54,480502.3,465563.61,460625.5,461202.21,461121.66,461847.3,464071.71,466707.04,2015.0
