,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
1457,156,CAN,PCPIPCH,Canada,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",10.183,12.462,10.803,5.816,4.339,3.951,4.174,4.365,4.031,4.984,4.78,5.626,1.49,1.865,0.166,2.149,1.571,1.621,0.996,1.735,2.719,2.525,2.258,2.759,1.857,2.214,2.002,2.138,2.37,0.299,1.777,2.912,1.516,0.938,1.907,1.125,1.429,1.597,2.268,1.949,0.717,3.152,2.637,2.0,2.19,2.084,2.016,2020.0
1502,626,CAF,PCPIPCH,Central African Republic,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",13.3,14.66,13.243,14.558,2.604,10.457,2.411,-6.986,-3.934,0.645,-0.203,-2.848,-0.757,-2.909,24.55,19.2,3.842,1.623,-2.024,-1.554,3.365,4.083,2.266,4.386,-2.593,2.879,6.815,0.96,9.259,3.521,1.491,1.194,5.478,6.989,14.899,1.403,4.945,4.181,1.612,2.685,2.304,3.654,2.474,2.5,2.5,2.5,2.5,2020.0
1547,628,TCD,PCPIPCH,Chad,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",8.635,8.128,6.429,7.875,20.3,5.071,-13.054,-2.73,14.9,-4.9,0.5,4.2,-3.8,-10.874,41.272,5.364,11.331,5.572,4.259,-8.447,3.823,12.431,5.192,-1.753,-4.803,4.449,9.64,-7.44,8.333,10.103,-2.11,2.029,7.517,0.223,1.682,4.827,-1.632,-0.897,4.037,-0.972,4.464,2.627,2.827,2.828,2.857,2.963,2.968,2020.0
1592,228,CHL,PCPIPCH,Chile,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",35.138,19.687,9.941,27.257,19.86,30.703,19.477,19.881,14.684,17.028,26.036,21.815,15.454,12.743,11.46,8.229,7.356,6.127,5.106,3.333,3.838,3.565,2.486,2.811,1.053,3.053,3.402,4.413,8.723,1.498,1.408,3.335,2.999,1.789,4.714,4.349,3.789,2.183,2.319,2.251,3.044,4.191,4.43,3.082,3.0,3.0,3.0,2020.0
1682,233,COL,PCPIPCH,Colombia,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",25.932,27.393,24.86,19.526,16.283,23.906,18.848,23.334,28.1,25.935,29.115,30.318,27.02,22.449,22.851,20.884,20.803,18.476,18.65,10.876,9.218,7.958,6.35,7.12,5.906,5.048,4.303,5.543,7.001,4.193,2.268,3.415,3.174,2.021,2.905,4.994,7.504,4.313,3.239,3.522,2.522,3.207,3.535,3.043,3.037,2.988,3.008,2020.0
1727,632,COM,PCPIPCH,Comoros,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",13.329,6.5,15.211,9.21,6.055,8.382,-11.289,3.3,0.29,4.44,-7.39,1.7,-1.4,2.0,25.3,3.15,2.4,1.5,1.2,1.1,5.9,5.571,3.578,3.713,4.496,3.007,3.389,4.486,4.816,4.789,3.899,2.231,5.91,0.416,-0.008,0.941,0.802,0.092,1.702,3.701,0.8,-1.045,1.234,1.399,1.575,1.715,2.0,2019.0
1772,636,COD,PCPIPCH,Democratic Republic of the Congo,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",40.039,34.884,37.069,76.73,52.63,23.46,46.73,90.37,82.749,104.065,81.295,2154.44,4129.17,1986.9,23773.1,541.801,617.0,199.0,29.145,284.9,550.0,357.28,25.316,12.817,4.001,21.545,12.845,16.672,17.966,46.101,23.461,14.95,0.857,0.876,1.24,0.738,3.193,35.734,29.266,4.705,11.358,9.393,6.35,6.6,6.902,6.906,6.269,2020.0
1817,634,COG,PCPIPCH,Republic of Congo,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",7.296,0.782,3.454,3.471,3.488,3.505,3.521,3.537,-13.013,-9.582,0.343,9.358,-3.162,-4.1,7.497,6.3,7.4,12.7,2.2,3.0,0.5,0.844,2.985,1.69,3.67,2.466,3.706,2.595,6.02,4.341,0.391,1.761,5.009,4.631,0.912,3.168,3.191,0.449,1.153,2.207,1.818,1.983,2.793,3.0,3.0,3.0,3.0,2019.0
1862,238,CRI,PCPIPCH,Costa Rica,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",18.121,36.806,90.271,32.503,12.013,15.129,11.788,16.806,20.845,16.491,19.069,20.188,21.792,9.771,13.555,23.171,17.516,13.253,11.662,10.038,10.963,11.259,9.169,9.443,12.315,13.8,11.471,9.358,13.424,7.841,5.662,4.879,4.495,5.23,4.52,0.803,-0.017,1.625,2.22,2.098,0.724,1.343,1.469,1.75,2.1,2.5,2.9,2020.0
1907,662,CIV,PCPIPCH,CÙte d'Ivoire,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",8.81,8.682,7.389,5.879,4.281,1.753,6.837,6.978,6.935,0.986,-0.658,1.575,4.218,2.13,25.956,14.1,2.7,6.301,4.503,0.744,2.534,4.355,3.08,3.297,1.459,3.884,2.466,1.896,6.315,1.009,1.366,4.895,1.3,2.584,0.449,1.244,0.724,0.692,0.422,0.806,2.4,3.0,2.5,2.2,2.0,2.0,2.0,2019.0
