,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
2359,253,SLV,PCPIEPCH,El Salvador,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",18.482,11.68,13.428,14.753,9.798,31.964,30.34,19.599,18.246,23.486,19.333,9.828,19.937,12.086,8.895,11.385,7.349,1.928,4.223,-1.027,4.293,1.418,2.796,2.524,5.369,4.26,4.876,4.859,5.479,0.08,2.13,5.052,0.783,0.786,0.477,1.014,-0.931,2.035,0.438,-0.009,-0.08,4.5,1.6,1.545,1.49,1.49,1.2,2020.0
2674,172,FIN,PCPIEPCH,Finland,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",13.761,9.897,8.878,8.518,6.132,4.931,3.377,3.622,5.896,7.143,2.067,4.55,2.599,2.916,1.646,-0.465,1.726,1.599,0.78,2.241,2.869,2.35,1.716,1.191,0.147,1.016,1.236,1.939,3.381,1.806,2.766,2.605,3.449,1.933,0.552,-0.249,1.1,0.505,1.319,1.137,0.192,2.239,1.611,1.6,1.76,1.9,1.9,2020.0
2719,132,FRA,PCPIEPCH,France,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",13.728,13.892,9.691,9.292,6.69,4.703,2.121,3.115,3.081,3.563,3.212,3.264,2.01,2.227,1.439,2.107,1.699,1.14,0.236,1.36,1.806,1.496,2.185,2.407,2.243,1.727,1.675,2.787,1.164,0.988,1.988,2.645,1.509,0.839,0.1,0.291,0.809,1.229,1.87,1.585,-0.142,2.886,0.988,1.358,1.227,1.207,1.409,2020.0
2989,174,GRC,PCPIEPCH,Greece,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",27.083,22.951,18.667,20.225,17.757,25.397,17.089,15.676,14.019,15.164,22.776,17.681,14.532,12.043,10.749,7.75,6.95,4.543,3.696,2.313,3.669,3.525,3.498,3.098,3.129,3.504,3.199,3.855,2.193,2.549,5.158,2.177,0.318,-1.816,-2.535,0.392,0.29,0.967,0.632,1.05,-2.39,1.348,-0.129,1.595,1.595,1.595,1.595,2020.0
3034,328,GRD,PCPIEPCH,Grenada,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",21.847,10.547,11.882,7.434,6.975,3.745,1.864,-0.833,0.553,6.906,3.778,3.831,0.969,4.877,3.67,1.864,2.155,1.642,1.164,1.083,3.448,-0.704,2.286,1.639,2.492,6.199,1.65,7.398,5.172,-2.346,4.215,3.516,1.81,-1.24,-0.628,1.114,0.923,0.531,1.404,0.073,-0.803,2.517,0.629,1.248,2.005,1.999,1.999,2020.0
3079,258,GTM,PCPIEPCH,Guatemala,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",9.0,8.8,-2.1,7.2,7.2,27.9,21.5,9.3,12.3,20.2,59.8,10.0,14.2,11.6,11.6,8.61,10.85,7.127,7.473,4.918,5.092,8.902,6.321,5.862,9.224,8.574,5.794,8.74,9.406,-0.284,5.396,6.2,3.446,4.387,2.947,3.066,4.232,5.677,2.313,3.406,4.824,4.593,4.3,4.187,4.063,3.967,4.032,2020.0
3214,336,GUY,PCPIEPCH,Guyana,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",8.487,29.011,19.315,11.176,28.085,7.667,6.614,34.562,36.295,104.3,75.3,79.0,12.5,6.8,16.095,8.106,4.485,4.153,4.77,8.622,5.864,1.502,6.089,5.014,5.457,8.279,4.163,14.033,6.37,3.65,4.43,3.304,3.476,0.887,1.172,-1.814,1.454,1.51,1.637,2.061,0.948,3.417,2.795,2.918,3.103,3.103,3.103,2020.0
3304,268,HND,PCPIEPCH,Honduras,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",11.515,9.151,8.786,7.83,3.659,4.247,3.175,2.923,6.726,11.391,36.421,21.212,6.429,13.087,29.08,26.667,25.408,12.735,15.661,10.988,10.1,8.81,8.097,6.795,9.183,7.748,5.286,8.873,10.831,2.951,6.485,5.605,5.438,4.917,5.82,2.357,3.315,4.728,4.224,4.084,4.013,4.056,4.0,4.0,4.0,4.0,4.0,2019.0
3439,176,ISL,PCPIEPCH,Iceland,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",55.701,49.29,59.866,76.645,18.816,35.936,13.507,24.44,20.607,25.281,7.229,7.52,1.519,4.749,0.515,1.999,2.057,2.048,1.275,5.529,4.148,8.65,1.955,2.763,3.916,4.135,6.965,5.865,18.133,7.446,2.518,5.251,4.206,4.134,0.829,2.012,1.894,1.872,3.738,2.002,3.58,4.274,2.5,2.5,2.5,2.5,2.5,2020.0
3484,534,IND,PCPIEPCH,India,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",12.819,9.048,10.42,10.398,5.144,8.92,7.464,9.743,5.04,6.639,15.019,13.388,5.831,9.504,9.811,8.82,10.632,9.039,8.988,3.683,2.934,5.101,3.783,3.989,4.233,4.882,7.001,6.283,9.36,10.538,9.166,8.781,10.488,7.663,5.272,5.259,3.569,4.594,2.465,6.668,4.867,5.491,4.91,4.182,4.119,4.036,4.054,2020.0
