,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
1306,624,CPV,NGDP_RPCH,Cabo Verde,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.263,8.45,2.822,9.523,3.78,8.643,2.872,4.308,5.997,5.698,0.692,1.403,3.045,7.31,6.93,7.492,6.694,7.639,8.413,11.86,7.267,6.138,5.283,7.502,4.927,5.81,9.118,9.218,6.651,-1.27,1.467,3.969,1.082,0.803,0.611,1.007,4.706,3.702,4.531,5.668,-14.783,3.995,6.504,6.096,6.101,6.201,6.194,2019.0
1396,622,CMR,NGDP_RPCH,Cameroon,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",9.9,17.051,7.563,6.844,7.468,8.107,6.791,-2.153,-7.865,-1.77,-6.161,-3.764,-3.05,-3.158,-2.495,3.304,4.912,5.314,4.895,4.062,3.553,4.368,4.237,4.567,6.781,2.021,3.458,4.902,3.489,2.199,3.423,4.129,4.543,5.404,5.884,5.651,4.648,3.549,4.062,3.721,-1.541,3.625,4.559,4.902,5.261,5.397,5.557,2020.0
1441,156,CAN,NGDP_RPCH,Canada,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.163,3.503,-3.187,2.601,5.908,4.737,2.145,4.073,4.41,2.317,0.165,-2.086,0.9,2.661,4.494,2.694,1.619,4.28,3.896,5.163,5.178,1.79,3.018,1.802,3.087,3.204,2.634,2.072,1.004,-2.926,3.09,3.146,1.761,2.329,2.87,0.659,1.001,3.04,2.43,1.861,-5.313,5.688,4.889,2.634,1.543,1.426,1.55,2020.0
1486,626,CAF,NGDP_RPCH,Central African Republic,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-2.995,12.954,-3.572,-6.027,9.912,3.733,7.193,0.0,1.718,3.79,1.364,-0.799,-4.923,-1.198,12.572,3.166,-6.157,4.105,3.34,2.887,-3.581,2.609,2.091,-2.249,-0.096,2.931,4.754,4.031,2.613,2.812,4.631,4.195,5.054,-36.392,0.08,4.338,4.75,4.528,3.82,2.97,0.97,-0.998,4.031,4.978,4.987,4.962,4.883,2017.0
1531,628,TCD,NGDP_RPCH,Chad,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-6.008,-10.805,5.376,15.659,5.256,7.897,5.966,3.647,7.544,1.952,3.202,10.402,2.392,-2.074,5.494,-0.775,2.115,5.653,6.952,-0.683,-0.88,11.658,8.491,14.722,33.629,8.311,0.648,3.272,3.063,4.139,13.598,0.12,8.807,5.753,6.893,1.77,-5.558,-2.38,2.303,2.96,-0.821,0.939,2.371,2.54,4.382,4.41,3.803,2017.0
1576,228,CHL,NGDP_RPCH,Chile,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.945,6.212,-13.588,-2.802,5.886,1.968,5.596,6.581,7.288,10.605,3.671,7.715,11.132,6.722,5.062,8.844,6.872,7.416,4.356,-0.456,5.335,3.301,3.096,4.09,7.202,5.742,6.316,4.912,3.567,-1.588,5.824,6.119,5.332,4.047,1.766,2.296,1.725,1.154,3.718,1.015,-5.845,10.999,2.471,1.878,1.99,2.273,2.49,2020.0
1621,924,CHN,NGDP_RPCH,China,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.91,5.1,9.0,10.8,15.2,13.501,8.597,11.7,11.2,4.2,3.888,9.3,14.277,13.879,13.029,10.969,9.921,9.247,7.856,7.68,8.472,8.319,9.115,10.021,10.114,11.389,12.71,14.247,9.592,9.446,10.611,9.551,7.848,7.771,7.391,7.018,6.851,6.947,6.751,5.951,2.342,8.015,5.602,5.277,5.247,5.113,4.934,2020.0
1666,233,COL,NGDP_RPCH,Colombia,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.429,2.277,0.948,1.574,3.351,3.107,5.824,5.369,4.064,3.414,4.282,2.372,4.353,5.71,5.147,5.202,2.056,3.43,0.57,-4.204,2.925,1.678,2.504,3.918,5.333,4.707,6.717,6.738,3.284,1.139,4.495,6.948,3.913,5.134,4.499,2.956,2.087,1.359,2.564,3.281,-6.796,7.608,3.834,3.256,3.41,3.445,3.5,2020.0
1711,632,COM,NGDP_RPCH,Comoros,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.383,5.462,4.058,3.093,4.167,2.888,2.167,2.168,5.068,-0.816,7.363,-6.156,7.382,2.511,-4.007,5.63,-0.525,4.402,0.014,2.724,-0.967,5.444,4.616,1.971,3.1,5.745,-1.829,0.804,3.965,3.241,3.778,4.144,3.168,4.466,2.107,1.299,3.457,4.177,3.639,1.756,-0.504,1.6,3.83,3.682,3.863,4.3,4.4,2019.0
1756,636,COD,NGDP_RPCH,Democratic Republic of the Congo,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.405,0.945,-0.454,1.41,4.844,0.464,4.72,2.671,0.465,-1.26,-6.568,-8.445,-10.462,-13.468,-6.144,2.762,-1.935,-7.84,-3.875,-3.802,-8.136,-2.1,2.948,5.578,6.738,6.135,5.321,6.259,6.226,2.855,7.108,6.875,7.087,8.482,9.47,6.916,2.399,3.727,5.816,4.39,1.735,4.862,5.594,6.613,6.807,6.689,5.444,2020.0
